n_neighbors,min_dist,n_components,random_state,metric,n_jobs,embedding
5,0.1,3,42,manhattan,8,"[[ 6.2232475e+00 -1.8980622e-02  7.8202486e+00]
 [ 5.5258188e+00 -3.6677653e-03 -1.0025330e+00]
 [-1.8326922e-01 -2.1827815e+00 -2.9056621e+00]
 ...
 [ 1.3411409e+00  1.0393484e+00 -8.1479969e+00]
 [ 3.2069106e+00 -5.7256842e+00  8.7652099e-01]
 [ 2.7248883e+00 -8.5153580e+00  7.0442348e+00]]"
10,0.1,3,42,manhattan,8,"[[ 7.086996   -2.8558412   0.13288942]
 [ 6.118659    8.39789    -1.4952426 ]
 [ 3.2492642   6.758606   -2.5624099 ]
 ...
 [14.2317     11.202136    2.8408847 ]
 [15.68169    -0.2776371   7.313456  ]
 [ 8.594994   14.041361    9.586718  ]]"
15,0.1,3,42,manhattan,8,"[[ 1.7101851e+01  2.9010444e+00  2.2198164e+00]
 [ 5.1612315e+00 -8.6953139e-01  8.0863861e-03]
 [ 1.2179422e+01  1.2086207e+00  5.4486089e+00]
 ...
 [ 1.7424581e+00  1.3261022e-01  6.2157292e+00]
 [ 9.5826159e+00  3.3082037e+00  1.5830627e+01]
 [ 7.8880343e+00 -5.1299191e+00  1.0664931e+01]]"
20,0.1,3,42,manhattan,8,"[[10.328852   1.2895004 -1.9665124]
 [ 4.972099   4.155582  -2.6894875]
 [ 5.8010235  5.2944994 -4.9152565]
 ...
 [ 7.4497504  6.30217    8.302538 ]
 [ 6.6476455  9.586039  14.673617 ]
 [ 5.2401423 14.495124   4.8073087]]"
25,0.1,3,42,manhattan,8,"[[  1.5270351   11.381835     4.449098  ]
 [ -5.960777     6.957538    23.321585  ]
 [-14.148719    12.312344    11.844508  ]
 ...
 [  0.22114784   3.3061028   21.073236  ]
 [  7.8425055    7.5359197   20.649618  ]
 [  0.17195827   7.5520663   25.13628   ]]"
30,0.1,3,42,manhattan,8,"[[  0.4718387  11.562098    6.479333 ]
 [-13.624797   17.699034   -6.9872365]
 [ -9.402312   -2.6379685   1.9976122]
 ...
 [  5.347761   -2.2374563  -1.3724777]
 [  1.5904913  10.798381  -13.528209 ]
 [ -9.851843   10.6868    -10.464814 ]]"
5,0.2,3,42,manhattan,8,"[[ -3.503717     3.1566548    0.05205989]
 [  6.5254564   -1.6288815   -0.9495892 ]
 [  1.8883992   -3.1130016    1.8322688 ]
 ...
 [  1.8559196    2.0228374   -6.660453  ]
 [  5.2315784    7.019101    -0.6464819 ]
 [  3.5857627  -10.531967    -0.42614734]]"
10,0.2,3,42,manhattan,8,"[[10.480447    2.523101   -5.2753444 ]
 [ 3.2296336   6.27987     3.714115  ]
 [ 1.4394993   4.7260733   0.45270696]
 ...
 [ 7.7254224  -0.6686351   8.294196  ]
 [15.474006    4.570487   10.546634  ]
 [ 6.5427775  -0.8731286  13.630424  ]]"
15,0.2,3,42,manhattan,8,"[[ 3.9401748  3.3813877  2.302828 ]
 [18.065708  -2.2286065  4.297758 ]
 [14.620171  -5.4431767  1.4321669]
 ...
 [19.181852   4.5376043 10.138722 ]
 [ 8.996239   1.6544292 16.948032 ]
 [14.678547  -6.38548   11.839656 ]]"
20,0.2,3,42,manhattan,8,"[[ 9.122969    0.34089825  4.1651907 ]
 [ 5.1701064  17.863186    4.047378  ]
 [ 1.2020293  12.3025      4.2733464 ]
 ...
 [12.685094   17.205002    7.303826  ]
 [ 4.9711275   9.240713   15.909396  ]
 [ 9.192005   18.931023   11.211931  ]]"
